number	imsi	msin	call_number	amount	type	date
3130	8696	8696	79047	1	3	3/27/13 21:57
8258	3947	3947	79027	1	3	3/27/13 21:54
8258	3947	3947	79027	1	3	3/27/13 21:52
8258	3947	3947	79027	1	3	3/27/13 21:49
7097	2023	2023	77360	1	3	3/27/13 21:47
8258	3947	3947	79027	1	3	3/27/13 21:44
4477	9242	9242	79097	1	3	3/27/13 21:43
8258	3947	3947	79027	1	3	3/27/13 21:40
7097	2023	2023	93414	1	3	3/27/13 21:39
8258	3947	3947	79027	1	3	3/27/13 21:38
7097	2023	2023	93414	1	3	3/27/13 21:35
7097	2023	2023	93202	1	3	3/27/13 21:32
652	16148	16148	79097	1	3	3/27/13 21:23
652	16148	16148	79097	1	3	3/27/13 21:23
3543	13505	13505	data	1	2	3/27/13 21:19
8258	3947	3947	79027	1	3	3/27/13 21:16
8408	14185	14185	24087	1	3	3/27/13 21:15
7955	6404	6404	6030	1	3	3/27/13 21:15
3621	4566	4566	6030	1	3	3/27/13 21:12
8008	9953	9953	6030	1	3	3/27/13 21:12
3621	4566	4566	6030	1	3	3/27/13 21:11
8008	9953	9953	6030	1	3	3/27/13 21:10
3621	4566	4566	6030	1	3	3/27/13 21:10
3621	4566	4566	6030	1	3	3/27/13 21:08
7414	10343	10343	6030	1	3	3/27/13 21:08
8128	12503	12503	6030	1	3	3/27/13 21:05
8128	12503	12503	6030	1	3	3/27/13 21:05
2	17076	17076	6030	1	3	3/27/13 21:05
8128	12503	12503	6030	1	3	3/27/13 21:04
8128	12503	12503	6030	1	3	3/27/13 21:04
8128	12503	12503	6030	1	3	3/27/13 21:04
5234	13648	13648	6030	1	3	3/27/13 21:04
8258	3947	3947	79027	1	3	3/27/13 21:04
5453	1027	1027	6030	1	3	3/27/13 21:03
8258	3947	3947	79027	1	3	3/27/13 21:02
8258	3947	3947	79027	1	3	3/27/13 21:01
8848	17539	17539	6030	1	3	3/27/13 20:59
8848	17539	17539	6030	1	3	3/27/13 20:55
7794	13225	13225	6030	1	3	3/27/13 20:52
2641	16594	16594	6030	1	3	3/27/13 20:51
8685	7437	7437	6030	1	3	3/27/13 20:49
2641	16594	16594	6030	1	3	3/27/13 20:49
7830	9175	9175	6030	1	3	3/27/13 20:48
5730	13217	13217	6030	1	3	3/27/13 20:48
7794	13225	13225	6030	1	3	3/27/13 20:48
7794	13225	13225	6030	1	3	3/27/13 20:48
8685	7437	7437	6030	1	3	3/27/13 20:48
5730	13217	13217	6030	1	3	3/27/13 20:48
7830	9175	9175	6030	1	3	3/27/13 20:47
1749	13795	13795	6030	1	3	3/27/13 20:46
857	13889	13889	6030	1	3	3/27/13 20:46
8183	2639	2639	6030	1	3	3/27/13 20:46
857	13889	13889	6030	1	3	3/27/13 20:46
2334	8400	8400	6030	1	3	3/27/13 20:43
1887	7328	7328	34016	1	3	3/27/13 20:42
1312	14106	14106	52460	1	3	3/27/13 20:42
2334	8400	8400	6030	1	3	3/27/13 20:41
2334	8400	8400	6030	1	3	3/27/13 20:40
4767	14461	14461	6030	1	3	3/27/13 20:40
6400	9231	9231	6030	1	3	3/27/13 20:39
2	17076	17076	6030	1	3	3/27/13 20:39
1312	14106	14106	52460	1	3	3/27/13 20:38
7097	2023	2023	86010	1	3	3/27/13 20:36
2085	16314	16314	2409	17	1	3/27/13 20:35
4000	11568	11568	18350	4	1	3/27/13 20:35
3426	11982	11982	73730	29	1	3/27/13 20:35
9571	13584	13584	99570	24	1	3/27/13 20:35
8865	3685	3685	70724	1	3	3/27/13 20:35
6955	9689	9689	24691	27	1	3/27/13 20:35
4443	2665	2665	94000	13	1	3/27/13 20:35
2078	8676	8676	5201	27	1	3/27/13 20:35
6012	6499	6499	79592	1	3	3/27/13 20:34
1168	12841	12841	90379	17	1	3/27/13 20:34
4332	7706	7706	66675	1	3	3/27/13 20:34
2461	13766	13766	20231	1	3	3/27/13 20:34
5258	12549	12549	2270	1	3	3/27/13 20:34
1921	8810	8810	69000	53	1	3/27/13 20:34
6147	12330	12330	96148	18	1	3/27/13 20:34
441	12351	12351	13000	30	1	3/27/13 20:34
2300	1558	1558	92299	22	1	3/27/13 20:34
6011	6503	6503	7910	1	3	3/27/13 20:34
8002	11909	11909	817	78	1	3/27/13 20:34
5004	4	4	75714	53	1	3/27/13 20:34
9250	9599	9599	16434	1	3	3/27/13 20:34
1415	15	15	41533	63	1	3/27/13 20:34
2285	9496	9496	92281	73	1	3/27/13 20:34
8252	6324	6324	57800	42	1	3/27/13 20:34
4215	2429	2429	10450	3	1	3/27/13 20:34
7631	6099	6099	19166	52	1	3/27/13 20:34
7704	8594	8594	99882	1	3	3/27/13 20:34
2881	3732	3732	91181	1	3	3/27/13 20:34
1024	16149	16149	75932	15	1	3/27/13 20:34
5994	13356	13356	94160	25	1	3/27/13 20:34
2204	11683	11683	2815	1	3	3/27/13 20:34
3740	11379	11379	95230	25	1	3/27/13 20:34
7568	7111	7111	83730	36	1	3/27/13 20:34
4549	2679	2679	94550	122	1	3/27/13 20:34
9129	10690	10690	63964	17	1	3/27/13 20:33
9617	13827	13827	64380	19	1	3/27/13 20:33
3220	3034	3034	13913	65	1	3/27/13 20:33
6639	12916	12916	21292	41	1	3/27/13 20:33
8194	10820	10820	57697	1	3	3/27/13 20:33
5799	1372	1372	3772	37	1	3/27/13 20:33
6013	11977	11977	42364	24	1	3/27/13 20:33
441	12351	12351	13000	16	1	3/27/13 20:33
8348	4893	4893	65280	96	1	3/27/13 20:33
1022	16144	16144	73727	1	3	3/27/13 20:33
2821	16126	16126	67119	28	1	3/27/13 20:33
9444	3967	3967	15086	35	1	3/27/13 20:33
2919	8197	8197	12758	1	3	3/27/13 20:33
6012	6499	6499	1102	44	1	3/27/13 20:33
201	7118	7118	34709	8	1	3/27/13 20:33
6797	7451	7451	54840	1	3	3/27/13 20:33
1527	10230	10230	27690	108	1	3/27/13 20:33
6797	7451	7451	54840	1	3	3/27/13 20:33
6148	12329	12329	96147	57	1	3/27/13 20:33
3844	10793	10793	20980	34	1	3/27/13 20:33
5123	13918	13918	70499	45	1	3/27/13 20:33
1908	7901	7901	93070	25	1	3/27/13 20:33
4348	8897	8897	20020	49	1	3/27/13 20:33
2506	3064	3064	94223	55	1	3/27/13 20:32
3343	9834	9834	29231	1	3	3/27/13 20:32
5517	1091	1091	81508	30	1	3/27/13 20:32
3196	9741	9741	12560	51	1	3/27/13 20:32
5499	10456	10456	79385	25	1	3/27/13 20:32
2186	9504	9504	65800	32	1	3/27/13 20:32
7753	10499	10499	63749	55	1	3/27/13 20:32
2461	13766	13766	20231	1	3	3/27/13 20:32
6147	12330	12330	96148	1	1	3/27/13 20:32
5258	12549	12549	2270	1	3	3/27/13 20:32
3900	7074	7074	67620	201	1	3/27/13 20:32
5698	4719	4719	32923	50	1	3/27/13 20:32
9174	12039	12039	58140	1	3	3/27/13 20:32
6012	6499	6499	24386	1	3	3/27/13 20:32
4332	7706	7706	66675	1	3	3/27/13 20:32
30	2013	2013	30	1	3	3/27/13 20:32
6535	8	8	72180	1	3	3/27/13 20:32
3032	8826	8826	62857	1	3	3/27/13 20:32
6256	14657	14657	75934	32	1	3/27/13 20:32
9518	13204	13204	17900	49	1	3/27/13 20:32
8014	15056	15056	16125	86	1	3/27/13 20:32
348	12317	12317	1322	1	3	3/27/13 20:32
1090	10878	10878	118	92	1	3/27/13 20:32
1742	10586	10586	91748	18	1	3/27/13 20:32
8194	10820	10820	57697	1	3	3/27/13 20:32
7737	14885	14885	96717	1	3	3/27/13 20:32
3679	8995	8995	40545	28	1	3/27/13 20:32
2765	4239	4239	10450	101	1	3/27/13 20:32
1765	8968	8968	31654	1	3	3/27/13 20:32
1199	7432	7432	24690	112	1	3/27/13 20:32
3542	10829	10829	18318	115	1	3/27/13 20:32
1212	16071	16071	16403	1	3	3/27/13 20:32
1996	12818	12818	91178	1	3	3/27/13 20:31
9464	10516	10516	8213	164	1	3/27/13 20:31
1707	12641	12641	920	1	3	3/27/13 20:31
2210	2491	2491	69670	1	3	3/27/13 20:31
5138	10089	10089	90604	32	1	3/27/13 20:31
1426	10201	10201	33675	30	1	3/27/13 20:31
7030	16197	16197	58931	72	1	3/27/13 20:31
6423	11031	11031	53215	270	1	3/27/13 20:31
4989	2906	2906	57964	101	1	3/27/13 20:31
9395	9453	9453	85006	13	1	3/27/13 20:31
9474	14894	14894	92824	19	1	3/27/13 20:31
2928	16695	16695	15787	92	1	3/27/13 20:31
3372	15047	15047	91507	13	1	3/27/13 20:31
8235	8263	8263	94071	11	1	3/27/13 20:31
4679	12228	12228	55797	37	1	3/27/13 20:31
9272	12520	12520	83476	1	3	3/27/13 20:31
7704	8594	8594	99882	1	3	3/27/13 20:31
4009	233	233	85058	66	1	3/27/13 20:31
79	16037	16037	65816	95	1	3/27/13 20:31
8341	11434	11434	37946	72	1	3/27/13 20:31
4399	2525	2525	23169	1	3	3/27/13 20:31
4844	6873	6873	26800	1	3	3/27/13 20:31
7066	7581	7581	60651	1	3	3/27/13 20:31
8252	6324	6324	99301	98	1	3/27/13 20:31
2244	17508	17508	60833	172	1	3/27/13 20:31
5849	18110	18110	12190	22	1	3/27/13 20:31
3246	18187	18187	31814	1	3	3/27/13 20:31
4379	12143	12143	60880	16	1	3/27/13 20:31
6935	8587	8587	63692	1	3	3/27/13 20:30
3003	11793	11793	15759	15	1	3/27/13 20:30
9229	13829	13829	91971	187	1	3/27/13 20:30
6256	9680	9680	76743	80	1	3/27/13 20:30
2788	3925	3925	57512	78	1	3/27/13 20:30
3935	14866	14866	83224	14	1	3/27/13 20:30
7099	12374	12374	67073	291	1	3/27/13 20:30
4695	6775	6775	81822	134	1	3/27/13 20:30
467	2132	2132	66300	43	1	3/27/13 20:30
30	2694	2694	90030	4	1	3/27/13 20:30
7761	16040	16040	53982	172	1	3/27/13 20:30
1861	7302	7302	59034	83	1	3/27/13 20:30
773	3120	3120	49824	1	3	3/27/13 20:30
4080	16057	16057	14856	43	1	3/27/13 20:30
9094	7977	7977	63322	6	1	3/27/13 20:30
8865	3685	3685	70724	1	3	3/27/13 20:30
1350	7652	7652	22026	22	1	3/27/13 20:30
5283	4894	4894	78276	87	1	3/27/13 20:30
6012	6499	6499	79592	1	3	3/27/13 20:30
8785	6484	6484	29630	38	1	3/27/13 20:30
506	17574	17574	10283	96	1	3/27/13 20:30
9723	11821	11821	76538	120	1	3/27/13 20:30
363	14973	14973	3162	51	1	3/27/13 20:30
6904	8042	8042	30705	56	1	3/27/13 20:30
3196	9741	9741	43551	119	1	3/27/13 20:30
7571	11051	11051	33896	32	1	3/27/13 20:30
2061	9542	9542	61080	292	1	3/27/13 20:29
1640	1043	1043	24073	239	1	3/27/13 20:29
9676	13504	13504	50339	129	1	3/27/13 20:29
1212	16071	16071	16403	1	3	3/27/13 20:29
3905	11576	11576	96397	22	1	3/27/13 20:29
8636	13367	13367	53687	1	3	3/27/13 20:29
1178	12862	12862	91996	1	3	3/27/13 20:29
7051	10604	10604	70475	1	1	3/27/13 20:29
9474	14894	14894	92824	77	1	3/27/13 20:29
7650	6200	6200	38555	72	1	3/27/13 20:29
8555	2669	2669	95557	1	3	3/27/13 20:29
3565	4761	4761	41300	1	3	3/27/13 20:29
4899	2693	2693	50540	59	1	3/27/13 20:29
2306	14819	14819	6030	1	3	3/27/13 20:29
4555	1565	1565	11580	1	3	3/27/13 20:29
5849	18110	18110	94849	52	1	3/27/13 20:29
2199	8086	8086	68831	1	3	3/27/13 20:29
598	14762	14762	50800	70	1	3/27/13 20:29
8341	11434	11434	37946	66	1	3/27/13 20:29
3159	10911	10911	58396	359	1	3/27/13 20:29
1827	16139	16139	67931	24	1	3/27/13 20:29
1959	12322	12322	49110	31	1	3/27/13 20:29
8663	1912	1912	7394	133	1	3/27/13 20:29
8763	14349	14349	98764	158	1	3/27/13 20:29
3468	12490	12490	91035	159	1	3/27/13 20:29
9235	9019	9019	71910	45	1	3/27/13 20:29
7761	16040	16040	53982	1	1	3/27/13 20:29
3626	4530	4530	24867	18	1	3/27/13 20:29
9511	12311	12311	57937	28	1	3/27/13 20:29
6189	8082	8082	72725	1	3	3/27/13 20:29
2285	9919	9919	43188	1	3	3/27/13 20:29
1039	16165	16165	96673	17	1	3/27/13 20:29
5875	12608	12608	90541	163	1	3/27/13 20:29
3716	16558	16558	56320	32	1	3/27/13 20:29
2285	9496	9496	4033	142	1	3/27/13 20:29
4737	7866	7866	3320	1	3	3/27/13 20:29
7865	6443	6443	21045	72	1	3/27/13 20:29
3491	16618	16618	25097	230	1	3/27/13 20:29
6001	10173	10173	48790	34	1	3/27/13 20:29
551	1602	1602	13755	1	3	3/27/13 20:28
8335	14059	14059	15457	187	1	3/27/13 20:28
269	4933	4933	42189	59	1	3/27/13 20:28
6354	13437	13437	36966	37	1	3/27/13 20:28
5596	1170	1170	28651	1	3	3/27/13 20:28
8423	8390	8390	98422	60	1	3/27/13 20:28
3795	11765	11765	48990	53	1	3/27/13 20:28
1270	7575	7575	70305	135	1	3/27/13 20:28
166	4127	4127	5474	65	1	3/27/13 20:28
3900	7074	7074	67620	137	1	3/27/13 20:28
4965	6688	6688	48675	177	1	3/27/13 20:28
1796	7237	7237	6090	19	1	3/27/13 20:28
2160	10461	10461	31205	33	1	3/27/13 20:28
8674	8345	8345	68518	1	3	3/27/13 20:28
4900	1571	1571	82706	22	1	3/27/13 20:28
4641	8268	8268	94641	319	1	3/27/13 20:28
4010	14096	14096	94015	17	1	3/27/13 20:28
3038	10418	10418	61618	17	1	3/27/13 20:28
9582	13680	13680	6030	1	3	3/27/13 20:28
2632	16589	16589	7110	1	3	3/27/13 20:28
9817	7448	7448	43020	199	1	3/27/13 20:28
9582	13680	13680	1606	1	3	3/27/13 20:28
7	1658	1658	90573	61	1	3/27/13 20:28
2632	16589	16589	7110	1	3	3/27/13 20:28
6944	6743	6743	68180	179	1	3/27/13 20:28
9785	14823	14823	90349	4	1	3/27/13 20:28
2100	1513	1513	92102	41	1	3/27/13 20:28
9272	12520	12520	83476	1	3	3/27/13 20:28
2595	4440	4440	92585	33	1	3/27/13 20:28
6673	12806	12806	78699	18	1	3/27/13 20:28
4904	7835	7835	59437	65	1	3/27/13 20:28
2192	13934	13934	21480	13	1	3/27/13 20:28
8363	4908	4908	63762	1	3	3/27/13 20:27
8194	10820	10820	57697	1	3	3/27/13 20:27
1377	14098	14098	57940	76	1	3/27/13 20:27
2226	10150	10150	40378	1	3	3/27/13 20:27
6312	10640	10640	21708	1	3	3/27/13 20:27
6544	2973	2973	55787	123	1	3/27/13 20:27
3739	12326	12326	91019	116	1	3/27/13 20:27
2765	4239	4239	94215	216	1	3/27/13 20:27
6012	6499	6499	86010	97	1	3/27/13 20:27
8534	4882	4882	74092	118	1	3/27/13 20:27
9234	11639	11639	99232	164	1	3/27/13 20:27
